number,state,value,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,avg_spearman_ic,std_spearman_ic,spearman_icir,negative_spearman_folds,robust_score
79,TrialState.COMPLETE,0.11195180755422564,190,4,0.012947986538609851,0.8569233669181987,0.5539362170875489,14,0.6024969822706732,4.36380549112146,45.01079197660138,0.15804680412425848,0.15771331961346471,1.002114498075439,2.0,0.11195180755422564
80,TrialState.PRUNED,-0.05212749675627454,266,4,0.013414665042106847,0.8514597646680021,0.5070828911061379,11,0.3165656699819019,17.55471650554762,60.88882524068896,,,,,
81,TrialState.PRUNED,-0.052690238387531146,291,4,0.013356423500731046,0.8406567062010912,0.640359102833245,17,0.9857970773802109,1.8093807217401607,78.27923541461115,,,,,
82,TrialState.PRUNED,-0.040597407512806466,193,4,0.017695244367314344,0.8235141927859261,0.6051738463771386,14,0.24270590668587605,2.3692908961204933,45.368290937622916,,,,,
83,TrialState.COMPLETE,0.10725851066526255,198,4,0.015146827026794853,0.8889677157726239,0.5182509706083871,20,1.0985307075258333,0.28486701151856897,3.960388109053071,0.15094471954503827,0.14807816885243616,1.019358361295369,2.0,0.10725851066526255
84,TrialState.PRUNED,-0.0056709350564560085,180,4,0.012349527451786477,0.8825211190536847,0.5899321647908249,13,1.9955921491721003,7.992628346838941,22.095165204852282,,,,,
85,TrialState.COMPLETE,0.10961715061898061,249,4,0.008499637012540005,0.9168337760932187,0.5641992047108937,26,1.1077300429825625,0.17520811300444386,4.040125502726249,0.15830498140254354,0.15475132313425166,1.0229636696883617,3.0,0.10961715061898061
86,TrialState.COMPLETE,0.10886098320160573,181,4,0.008123107293877767,0.9457196556082307,0.5069971873184186,25,0.595484554597706,0.564003634845601,4.911615329114279,0.1585676689935856,0.15882674316791945,0.9983688252421071,3.0,0.10886098320160573
87,TrialState.PRUNED,-0.043729045577626816,290,4,0.007857139505885123,0.8041229396494846,0.5378873081604236,16,1.0037300364543564,0.5408363275751465,17.554625930635545,,,,,
88,TrialState.COMPLETE,0.11054206257142019,242,4,0.008869656652604916,0.6151339752709741,0.5744180605068487,21,1.917214016773505,0.8927299246650635,6.543306878489061,0.1599324304960754,0.1575614716986208,1.0150478335337567,3.0,0.11054206257142019
89,TrialState.PRUNED,-0.03956060932624949,251,4,0.00829665353765168,0.6699737355717539,0.6221576857051896,21,2.0851435400788207,0.9585775113137252,7.382276231866464,,,,,
90,TrialState.PRUNED,-0.04517078647021659,215,4,0.00990736414204672,0.7034015161187851,0.5861303680873535,21,2.274695190859058,2.1592398137010393,76.30055958420843,,,,,
91,TrialState.PRUNED,-0.05069119733804214,276,4,0.021783090717096228,0.6108704225168307,0.6362374656402924,21,2.4787292406034904,1.1624289094543825,7.384699812098855,,,,,
92,TrialState.COMPLETE,0.11451202406657843,186,4,0.008536036349455729,0.9421935397876962,0.628232847435459,29,1.42262879357841,0.04987343620275817,2.1104087623522054,0.16489284289214787,0.16152327530227778,1.0208611890983774,3.0,0.11451202406657843
93,TrialState.PRUNED,-0.05875901851903983,215,4,0.009135482538379338,0.884485938454638,0.7465565555926913,31,1.972460057964293,0.14987670531421834,2.2542426896924743,,,,,
94,TrialState.PRUNED,-0.10943554151850479,392,3,0.00607764758703873,0.6436550408149133,0.6219024747043641,24,2.1982660212105705,0.7924531944301834,2.159135859188638,,,,,
95,TrialState.PRUNED,-0.04285697815051638,293,4,0.00901284676139368,0.7179390715631354,0.6488024412873733,10,1.857814631047872,0.014662110504238601,13.168214832673353,,,,,
96,TrialState.COMPLETE,0.10945035338615722,319,4,0.006520286258864976,0.6822328900092388,0.6610992572666975,25,1.0796548705921092,0.8866057907815803,26.62414315820622,0.15804356658298804,0.1543728527873233,1.0237782338629307,3.0,0.10945035338615722
97,TrialState.PRUNED,0.022246317267406075,315,4,0.011831026880943875,0.9253406401811116,0.6044237428678061,30,1.7073050849849558,0.06505559582643064,2.249486515468652,,,,,
98,TrialState.PRUNED,-0.09520673593048179,318,2,0.007936883640113346,0.6127610128302474,0.5017062594387346,32,2.9557451768028957,0.11557918701832343,25.266264507530273,,,,,
99,TrialState.PRUNED,-0.04809666886790173,184,4,0.010965387382203153,0.8184945651519889,0.5320585918043015,16,1.1763296401953605,1.2618129351101695,57.36869163006922,,,,,
100,TrialState.PRUNED,-0.09295737707920429,235,2,0.0154738319736005,0.6461151906928961,0.5777041290159843,23,1.811858097092124,0.6493053531829515,8.025982541221072,,,,,
101,TrialState.PRUNED,-0.04226728858068693,289,4,0.01089032453268847,0.8628714428652197,0.5244378739670257,8,0.25528636950271977,0.7290154140394995,30.210192435620982,,,,,
102,TrialState.COMPLETE,0.10948134784831065,319,4,0.006170942744557338,0.876098445943773,0.5458447352106001,26,2.7186643686945193,0.29826819102377994,5.875577217080692,0.15785916388169338,0.15351126413353092,1.028323001394741,3.0,0.10948134784831065
103,TrialState.PRUNED,-0.04522434195208087,192,4,0.00667467504003665,0.6851949441203266,0.52158192803926,20,0.7101767605380642,3.856645062883413,63.397635729157685,,,,,
104,TrialState.PRUNED,-0.04333096464616513,195,4,0.008871957192978775,0.9369589089282535,0.6816123933316399,30,1.9820583572271395,0.031356430480557515,2.891597515180429,,,,,
105,TrialState.PRUNED,-0.12170749309729648,314,3,0.006597353317135085,0.946678881348742,0.5917579759539311,21,2.3142653609940824,0.08476951381745436,5.620014305772249,,,,,
106,TrialState.PRUNED,-0.044771197104133686,293,4,0.007653055016279857,0.6520274941140862,0.5099053685197962,32,3.0178083763371193,0.9188041487285413,4.254108665418729,,,,,
107,TrialState.COMPLETE,0.10947808173755788,212,4,0.011051692303324053,0.9244137737495336,0.6196843055976851,25,1.742534876449214,0.07072356820777773,2.451149312398778,0.15924220122768193,0.15905647796049613,1.0011676561028338,3.0,0.10947808173755788
